theme,amenity,name,lat,lon
entertainment,nightclub,Mink,1.2920300,103.8587050
entertainment,cinema,GV Plaza,1.3009372,103.8448504
entertainment,cinema,GV Bishan,1.3505274,103.8485301
entertainment,cinema,GV City Square,1.3114818,103.8569550
entertainment,cinema,GV Grand,1.2929271,103.8320120
entertainment,cinema,GV Tampines,1.3521578,103.9447645
entertainment,cinema,GV Tiong Bahru,1.2863589,103.8265660
entertainment,cinema,Film Garde Century Square,1.3520987,103.9440022
entertainment,cinema,Shaw Theatres JCube,1.3329183,103.7403170
entertainment,cinema,Shaw Theatres,1.3848953,103.7452216
entertainment,cinema,Shaw Theatres nex,1.3510556,103.8721141
entertainment,cinema,Film Garde Kallang Leisure Park,1.3019677,103.8763047
entertainment,arts_centre,Hsinghai Art Association,1.3001194,103.8528376
entertainment,arts_centre,The Chinese Opera Institute,1.2985967,103.8533875
entertainment,community_centre,Aljunied Community Centre,1.3548845,103.8896670
entertainment,community_centre,Bishan North Community Centre,1.3586476,103.8455353
entertainment,community_centre,Bukit Gombak Community Centre,1.3639965,103.7527407
entertainment,community_centre,Dover Community Centre,1.3024216,103.7834794
entertainment,community_centre,Hwi Yoh Community Centre,1.3737636,103.8739271
entertainment,community_centre,Lam Soon Community Centre,1.3817811,103.7410310
entertainment,community_centre,Marine Parade Community Club,1.3049012,103.9095011
entertainment,community_centre,Punggol Park Community Centre,1.3777984,103.8963021
entertainment,community_centre,Rivervale Community Centre,1.3933659,103.9020132
entertainment,community_centre,Sengkang Community Club,1.3928356,103.8938986
entertainment,community_centre,Woodgrove Community Centre,1.4318561,103.7853201
entertainment,theatre,Resorts World Theatre,1.2563020,103.8200060
entertainment,cinema,GV Katong,1.3053265,103.9048977
entertainment,arts_centre,National Design Centre,1.2987839,103.8535318
entertainment,arts_centre,Marina Bay Sands Expo and Convention Centre,1.2823291,103.8585262
entertainment,casino,Marina Bay Sands Casino,1.2840238,103.8596420
entertainment,community_centre,Games Garage,1.3320116,103.8909910
entertainment,nightclub,Live On Stage Thai Disco Live Band KTV Wine Bar,1.2868966,103.8481204
